customer_ID,plan
10012418,0013003
10019448,1143121
10147491,1012022
10019445,1043012
10019444,1112012
10012411,1033022
10019446,0012003
10012417,1133113
10012415,1111121
10011691,1111021
10093562,0033002
10093563,1133113
10011694,1033022
10148760,2013032
10011697,0011002
10011698,1143113
10093569,0011002
10097670,1023023
10006879,1011121
10097674,1043102
10139997,2033022
10097678,1033012
10006871,1033012
10059135,1011011
10059134,2133032
10006877,1022112
10072756,1111122
10022626,1133102
10022625,1023124
10022622,1133123
10072750,1132121
10072751,1121022
10139992,0011002
10019447,0123123
10022629,1033003
10022628,1122112
10122637,2111123
10122636,2011033
10122635,1113112
10111798,1033124
10014403,1013023
10111796,0011002
10019441,1023003
10111795,1013021
10111791,0011004
10110642,0033032
10125948,1133122
10050200,1033004
10125940,0023013
10125942,0033102
10125943,1022114
10112445,1033002
10093561,1013101
10065200,2043003
10112448,0122134
10005523,0011004
10005521,0133002
10066628,1133113
10005527,1133123
10005525,1111121
10134530,2022032
10005528,1143123
10111864,0122012
10111865,1123123
10111863,1013023
10130846,1133013
10003969,1133123
10003968,0011004
10136928,1133114
10018319,0022004
10003963,1013101
10003965,1043002
10003964,1133114
10003966,0042002
10010121,1133112
10010120,1143114
10010125,0112003
10010124,2011022
10138197,0012002
10138196,0011001
10023570,1033022
10129620,0013003
10023574,1022021
10080672,2011032
10023576,1121024
10028548,1111122
10028549,1033002
10033484,2013123
10059138,1122021
10125360,0011002
10028541,2131113
10028542,1112123
10125363,0133002
10098577,1133123
10125365,1033104
10028547,0133113
10120709,1033002
10045229,1132112
10063816,1111123
10080677,1023023
10120701,1133012
10063815,1143103
10120703,1112123
10063814,1033002
10113809,1033022
10086751,1013013
10069877,1011024
10086753,1122122
10135479,2133123
10086757,1033123
10113796,2011032
10096234,1032012
10113790,1011023
10113791,1033123
10074349,0033004
10059130,0133003
10074342,1133112
10074340,0022003
10128285,1122102
10128287,1122123
10079400,0033024
10068465,1111122
10068463,1023023
10068462,1033002
10068461,2023013
10017692,1012023
10069756,1033002
10020334,2033023
10078874,2133102
10078876,1033102
10078879,1033113
10078878,1112121
10017698,1011022
10113428,1132112
10090405,1123023
10020331,1121013
10113422,2032001
10031299,1043101
10113426,0011001
10072754,0022001
10113424,1033023
10069753,1033102
10049948,2033002
10126537,1111112
10069750,1143104
10152247,1033101
10057095,1022121
10149964,0011004
10082862,1033002
10149966,1133102
10049945,1133112
10049944,0011002
10049947,0011002
10049946,2022021
10003039,1133124
10003038,1133102
10090709,1033022
10127134,1022021
10150329,1022024
10083709,1143113
10131265,1012124
10132123,1022023
10132120,1033023
10083701,1033012
10014927,2122012
10014926,1133102
10014921,1033121
10014920,1123123
10087084,0011002
10014922,1133114
10045917,1133012
10045912,0011004
10045910,1033123
10069332,0012011
10074403,1033023
10037254,0012003
10037255,1022113
10037256,1013021
10069337,1133112
10069338,2133132
10069339,0023002
10089532,1033112
10124709,1143123
10124708,1112123
10122631,2023032
10081708,1033021
10081707,1122122
10081706,2143102
10124703,1133114
10124702,1122114
10081703,1033021
10124325,0033004
10081701,1122122
10124706,1133113
10124324,1011022
10111797,1023023
10118270,1111121
10118271,1033021
10118274,1122113
10150053,2022013
10034501,0122001
10117022,2113123
10084063,0133023
10034504,2023121
10034506,1033123
10034509,2021022
10084068,1033123
10124320,0033001
10089283,2033023
10089281,1133012
10130848,0021002
10089284,1133022
10126706,1133122
10089289,1013023
10126703,0013004
10126701,2011031
10079172,1133113
10117024,1033022
10077068,1033123
10105454,2012022
10077065,1011021
10105457,1133012
10105450,1123124
10077062,1013123
10150058,1033022
10118776,1122102
10079408,1111013
10107340,0033012
10140955,1033023
10107347,1033013
10035338,1133103
10103850,1133013
10079179,1112023
10103858,1133113
10047205,1033012
10047206,1013112
10066707,2133102
10047200,1123013
10012523,1033013
10019834,0011002
10061609,1132111
10019836,1011021
10019837,2032002
10019830,1033023
10039907,2023031
10019832,1033011
10019833,1133102
10120280,1033021
10120281,1133122
10120282,0143004
10039909,0033001
10019838,1033002
10120285,0111004
10091366,1043104
10120287,1033121
10085107,1011022
10078885,1033122
10026335,1111123
10036615,1133023
10026331,1133111
10036612,1033102
10036611,1022004
10112444,1133113
10025260,1033123
10036618,2143113
10101934,1112122
10059744,1123113
10101930,1111123
10132449,1133123
10048155,1133112
10077930,0032002
10077933,1133124
10106430,1011124
10048151,1022002
10077934,1133124
10077939,1123123
10077938,1123112
10048158,2133113
10140141,1143124
10004359,1133113
10004358,0133013
10076082,1013023
10076083,1022111
10104495,1133104
10076081,1133101
10004351,1122124
10004354,1011022
10103145,1123021
10108957,0011001
10075573,1113014
10103141,2033022
10075578,0022004
10141106,1011022
10099008,1133114
10039277,0122001
10039279,0013002
10099005,2112011
10143595,1143114
10027062,1022103
10027063,1112112
10027060,1133102
10027061,1133113
10020596,2123124
10020595,2133121
10100047,1133123
10025517,1032002
10025510,1133123
10025512,2023032
10020598,0011004
10109012,1111122
10099003,1123112
10109016,1033103
10109017,0011002
10109019,1033111
10134469,1022012
10134468,1033104
10049201,0112001
10134464,2033102
10134467,1133121
10134460,1033102
10134463,0012002
10134462,0012002
10032612,1033111
10032611,1123102
10032610,1113123
10108941,0011002
10108940,2112013
10032614,0021004
10074628,1143021
10074620,1112122
10074625,1133124
10074626,2113113
10030619,1012023
10055934,0011001
10055936,1112122
10055933,2023024
10030611,1012012
10146440,1133121
10030616,1112021
10071052,1123122
10071053,1013021
10012400,1033021
10091368,1033022
10102434,0031001
10120370,1022022
10102430,0111002
10142560,1133022
10142562,2143134
10142564,1033021
10142567,2013112
10142569,1023113
10054083,2143101
10145688,0022002
10018314,1043113
10003086,1133123
10080102,1132102
10003087,2133134
10018312,1132121
10032281,1133111
10054084,0011001
10135736,0023002
10010385,1133113
10135733,2123123
10135730,1023013
10020042,1033023
10152147,1133123
10068148,1143113
10068149,2011111
10141140,2012013
10147881,1133124
10137336,0033002
10141145,2132132
10068141,0013002
10068143,0133001
10068144,2133102
10068146,2111114
10068147,1033012
10110229,1033114
10024747,2033033
10108055,0022002
10108052,1043114
10024740,1133111
10024741,1013101
10110222,1022124
10110227,1123112
10101160,1033002
10101161,1043013
10101162,2011101
10101163,1011021
10101164,1133103
10101172,1133121
10106399,1112022
10106396,2133121
10138739,2123112
10106394,1112023
10106395,0022001
10106392,1121124
10106393,1033102
10106390,1012021
10106391,1023023
10099857,1133113
10099852,1011021
10099853,1013113
10116977,2033013
10065674,1033123
10065677,1133022
10065676,1012123
10139929,0133002
10065673,1023023
10144661,1033102
10138736,2111124
10051898,1133123
10048095,1132122
10051896,1033022
10138731,1033021
10138730,1033113
10070015,1133111
10048097,1133112
10005312,1012123
10070011,1033102
10085309,1132102
10138732,1133113
10070019,2011033
10070018,1122122
10150465,2123123
10150460,1143102
10150469,1033112
10066098,1111122
10066099,0022002
10061124,0022004
10066094,2143132
10151591,1133113
10051765,1022022
10140231,1133123
10140230,1033023
10027800,1133113
10015527,1143123
10027803,1122122
10026506,1011022
10015528,1033021
10015529,0011004
10129624,1133112
10057397,2012012
10119138,1112102
10114500,1043102
10057390,1113121
10057399,1133112
10057398,0013001
10141994,1132013
10141997,1012022
10066329,1123123
10066324,2122002
10141996,1012023
10066321,1013023
10122911,1133113
10022359,0012002
10022358,1022011
10022356,0011002
10022354,0011001
10022352,1133021
10146546,1123113
10022350,0033002
10077549,1123121
10120809,0033004
10125361,1033022
10077542,1022022
10077543,2012001
10077544,1133113
10125362,1133013
10077546,1133124
10077547,2111131
10050387,1113113
10050381,1022102
10133914,1122124
10050382,1022022
10098815,1122112
10091045,1033001
10151333,2033013
10098811,0011004
10098810,1122111
10091044,1033022
10087387,1133123
10115301,1011001
10063317,1133102
10063310,0133123
10115304,1113123
10108104,1133113
10073091,1111122
10147319,1133123
10133087,1132111
10008821,0011001
10008820,0123002
10008823,1012022
10008822,1133111
10008825,2133131
10127675,1133123
10127676,0011002
10078221,1133101
10112920,0022002
10123131,1112121
10046808,1033112
10078223,0032002
10046800,1132122
10028380,1043101
10046805,1033022
10028387,0011003
10028384,1123123
10028385,1111022
10106077,1133123
10022978,1022101
10022973,2022022
10022972,1122012
10119812,1133123
10022977,2012033
10076343,1133113
10022974,1022021
10108850,1143113
10088912,0113013
10034064,1032014
10088833,0022002
10058573,1033021
10023003,0012002
10023004,0033002
10058577,1023013
10023006,1011014
10026079,1011023
10023009,0012002
10056514,2122132
10026075,1113023
10123571,0133001
10026070,2112113
10026071,0111002
10110555,1022002
10012899,2033123
10012896,1033013
10012895,1013101
10012894,1111124
10012892,0011002
10012891,0033002
10012890,1143102
10010003,1013023
10010004,1033002
10054603,0032004
10152308,0011001
10061951,1022021
10113228,0122004
10113229,2112032
10135472,0022002
10113220,1111121
10113221,0022023
10106640,0011002
10150320,1033021
10062958,1033002
10048323,1133123
10062955,1013023
10066949,1011011
10106643,2043032
10006681,1133123
10085573,1023023
10006684,1012123
10064357,1033123
10000902,1133113
10116366,0112002
10000901,0032004
10000906,1043014
10033591,0032022
10147593,1033022
10000909,1033022
10009882,1043101
10009883,2013022
10152369,2112022
10047295,2133113
10047294,1113112
10006534,2033031
10006537,1011001
10006536,1132113
10006539,1033104
10006538,1112123
10074348,1011022
10036511,2013033
10029163,1133114
10033599,2043011
10029167,1133122
10029169,0013003
10146544,1033013
10081119,1012022
10041053,1133022
10041052,1033021
10041050,2033002
10007482,1143114
10041056,0012003
10041055,1133104
10007481,0033002
10041059,1033113
10007489,1112123
10094402,1133111
10118078,2033002
10118079,0012001
10114970,1022101
10118076,1043102
10116369,2033022
10118070,1033022
10007645,1011002
10084262,1133102
10084261,1133113
10084260,1032022
10084267,1033102
10084264,1133112
10139572,1133122
10041589,1023012
10090516,0011112
10114977,1111121
10090512,1111122
10090513,1143102
10041581,1022122
10113917,1133112
10113914,1133122
10041582,1133111
10041585,0023013
10008590,1022012
10008593,0043012
10050603,1123023
10050604,1143102
10050607,1131014
10050608,0012002
10008598,1133111
10104349,2023002
10102378,0032002
10102379,1033012
10117213,1033013
10117215,1043002
10117218,0022004
10102373,1133102
10127244,1112123
10000274,0012003
10000276,2033032
10000270,0043004
10091955,0111002
10000272,0012002
10000273,0022001
10108735,1111013
10000279,1033002
10008047,1123121
10008046,0123002
10008045,1033001
10099330,2032033
10008043,2022022
10008042,2043023
10099335,1043002
10078870,1123123
10099338,0022002
10008049,0023124
10008048,2033031
10046584,1111121
10043568,1133112
10046587,2112112
10046580,2122131
10046581,1022023
10046582,0021001
10133548,1043113
10133546,1012113
10043562,1013022
10133543,1033001
10046589,1113122
10043567,0011004
10133540,0033002
10130010,0011002
10130011,1111112
10130012,1011013
10110082,0032004
10130014,1033122
10130015,1113123
10130017,1012022
10130019,1122014
10084091,1033001
10110087,2023023
10149318,2133123
10084396,1133124
10126897,1022023
10149315,1012114
10110086,0022002
10149313,1033123
10149312,1143123
10149311,1111112
10126896,1033123
10131945,1113123
10131944,1133103
10012339,0011002
10126895,0022002
10012333,1133123
10012330,2032133
10126894,1133112
10131949,1112121
10046057,2143134
10046054,1023023
10021091,1133102
10021090,1012022
10142862,1033102
10120915,1113102
10120916,1033102
10043695,2133121
10043692,1111121
10147158,1133114
10081988,0012002
10085608,0033002
10085609,0021002
10045596,1133122
10045597,1133121
10101307,1133111
10081985,1143112
10058968,1023001
10148603,2022002
10058963,0032004
10058965,1133113
10058967,0022001
10009319,2123112
10094514,1133123
10094515,0011002
10082958,0011002
10082957,1111021
10094519,1133111
10009313,1033023
10009314,1122012
10009315,0032002
10009317,1033002
10078624,1112123
10021546,1111122
10021544,0123002
10073632,1111121
10073633,1013012
10078622,0032002
10021540,0011002
10004596,1112123
10004591,1122014
10093158,0113001
10073638,1133123
10004592,1133124
10123757,1043013
10123756,1133123
10092204,1011022
10031736,1013101
10034981,1021012
10092203,0032002
10034983,1111023
10034982,2023113
10034988,1013123
10123759,0112001
10113427,0011002
10019768,0122003
10019769,1012021
10113425,0011002
10019765,2043101
10019766,1022121
10108692,1123104
10011159,1113122
10098179,2033012
10139530,1123123
10139531,1123023
10143014,1122012
10139533,1122111
10148048,1143123
10148049,1033004
10098170,1133112
10150756,2011034
10011156,1112123
10015643,1133102
10015647,1133102
10015646,1112112
10152246,1033021
10132246,1011021
10129184,1032021
10041870,2133102
10041873,1133124
10041872,2122114
10123135,1043011
10131052,0033003
10041877,1011023
10041876,1023023
10041879,2111123
10041878,0131002
10082371,1123112
10102953,2011033
10082376,1033014
10131059,1122112
10131058,2023013
10128859,1012013
10128858,2033012
10148592,1033104
10134669,1133113
10148591,0122003
10128851,1011021
10093394,1023021
10128853,1143113
10128855,0013001
10134662,0133004
10134661,1012121
10114435,2033032
10075779,1112022
10037862,0033004
10037861,1022022
10037860,1133122
10037866,0031001
10037865,1111121
10022010,1022123
10126980,0012002
10126983,1032001
10022014,0012001
10022015,1123122
10087852,1033113
10089863,1043113
10089860,0013001
10089861,0011002
10145149,1043014
10089867,1012021
10089864,2112123
10122400,0011001
10058032,1033021
10058030,1133022
10122406,1123122
10132627,1033023
10014068,1132013
10014069,0032001
10132623,1043013
10132622,1111122
10121665,1133012
10014066,2122132
10014060,1133102
10132628,2011031
10044342,1033101
10107511,1133121
10128588,1122102
10128584,1112123
10125751,1112121
10133443,2133104
10112634,1122123
10097356,1012122
10142761,0013001
10142760,1143102
10112630,0133102
10072278,1133102
10097351,1022003
10112633,1043113
10072271,0011001
10136270,1143024
10097358,0133022
10095268,0033002
10095265,1123102
10095264,0033003
10095267,1113122
10149887,2033032
10149885,1122114
10149884,0011002
10145730,1033022
10087474,1033102
10087473,1011021
10087471,1133114
10133193,0043004
10107937,0111001
10107936,1033113
10107931,1133121
