Analyzing A
A Combo Size 2
20140504-13-39-31	At\0.637213726757	[day","state]
20140504-13-39-38	At\0.639134180487	[day","group_size]
20140504-13-39-45	At\0.639134180487	[day","homeowner]
20140504-13-39-53	At\0.707696173451	[day","car_age]
20140504-13-40-29	At\0.884413812908	[day","previous]
20140504-13-41-28	At\0.884413812908	[state","previous]
20140504-13-42-17	At\0.884413812908	[group_size","previous]
20140504-13-42-59	At\0.884413812908	[homeowner","previous]
20140504-13-43-36	At\0.884413812908	[car_age","previous]
20140504-13-44-05	At\0.884413812908	[age_oldest","previous]
20140504-13-44-26	At\0.884413812908	[age_youngest","previous]
20140504-13-44-41	At\0.884413812908	[married_couple","previous]
20140504-13-44-48	At\0.884413812908	[C_previous","previous]
A Combo Size 3
20140504-13-45-56	At\0.884413812908	[day","state","previous]
20140504-13-46-54	At\0.884413812908	[day","group_size","previous]
20140504-13-47-44	At\0.884413812908	[day","homeowner","previous]
20140504-13-48-28	At\0.884413812908	[day","car_age","previous]
20140504-13-49-02	At\0.884413812908	[day","age_oldest","previous]
20140504-13-49-27	At\0.884413812908	[day","age_youngest","previous]
20140504-13-49-44	At\0.884413812908	[day","married_couple","previous]
20140504-13-49-52	At\0.884413812908	[day","C_previous","previous]
20140504-13-50-51	At\0.884413812908	[state","group_size","previous]
20140504-13-51-41	At\0.884413812908	[state","homeowner","previous]
20140504-13-52-26	At\0.884413812908	[state","car_age","previous]
20140504-13-53-00	At\0.884413812908	[state","age_oldest","previous]
20140504-13-53-28	At\0.884413812908	[state","age_youngest","previous]
20140504-13-53-45	At\0.884413812908	[state","married_couple","previous]
20140504-13-53-53	At\0.884413812908	[state","C_previous","previous]
20140504-13-54-43	At\0.884413812908	[group_size","homeowner","previous]
20140504-13-55-27	At\0.884413812908	[group_size","car_age","previous]
20140504-13-56-00	At\0.884413812908	[group_size","age_oldest","previous]
20140504-13-56-26	At\0.884413812908	[group_size","age_youngest","previous]
20140504-13-56-42	At\0.884413812908	[group_size","married_couple","previous]
20140504-13-56-51	At\0.884413812908	[group_size","C_previous","previous]
20140504-13-57-35	At\0.884413812908	[homeowner","car_age","previous]
20140504-13-58-08	At\0.884413812908	[homeowner","age_oldest","previous]
20140504-13-58-33	At\0.884413812908	[homeowner","age_youngest","previous]
20140504-13-58-50	At\0.884413812908	[homeowner","married_couple","previous]
20140504-13-58-58	At\0.884413812908	[homeowner","C_previous","previous]
20140504-13-59-34	At\0.884413812908	[car_age","age_oldest","previous]
20140504-14-00-00	At\0.884413812908	[car_age","age_youngest","previous]
20140504-14-00-18	At\0.884413812908	[car_age","married_couple","previous]
20140504-14-00-27	At\0.884413812908	[car_age","C_previous","previous]
20140504-14-00-52	At\0.884413812908	[age_oldest","age_youngest","previous]
20140504-14-01-09	At\0.884413812908	[age_oldest","married_couple","previous]
20140504-14-01-18	At\0.884413812908	[age_oldest","C_previous","previous]
20140504-14-01-35	At\0.884413812908	[age_youngest","married_couple","previous]
20140504-14-01-44	At\0.884413812908	[age_youngest","C_previous","previous]
20140504-14-01-53	At\0.884413812908	[married_couple","C_previous","previous]
A Combo Size 4
20140504-14-03-02	At\0.884413812908	[day","state","group_size","previous]
20140504-14-04-00	At\0.884413812908	[day","state","homeowner","previous]
20140504-14-04-51	At\0.884413812908	[day","state","car_age","previous]
20140504-14-05-30	At\0.884413812908	[day","state","age_oldest","previous]
20140504-14-06-00	At\0.884413812908	[day","state","age_youngest","previous]
20140504-14-06-20	At\0.884413812908	[day","state","married_couple","previous]
20140504-14-06-32	At\0.884413812908	[day","state","C_previous","previous]
20140504-14-07-29	At\0.884413812908	[day","group_size","homeowner","previous]
20140504-14-08-20	At\0.884413812908	[day","group_size","car_age","previous]
20140504-14-08-59	At\0.884413812908	[day","group_size","age_oldest","previous]
20140504-14-09-28	At\0.884413812908	[day","group_size","age_youngest","previous]
20140504-14-09-47	At\0.884413812908	[day","group_size","married_couple","previous]
20140504-14-09-57	At\0.884413812908	[day","group_size","C_previous","previous]
20140504-14-10-47	At\0.884413812908	[day","homeowner","car_age","previous]
20140504-14-11-28	At\0.884413812908	[day","homeowner","age_oldest","previous]
20140504-14-11-58	At\0.884413812908	[day","homeowner","age_youngest","previous]
20140504-14-12-17	At\0.884413812908	[day","homeowner","married_couple","previous]
20140504-14-12-27	At\0.884413812908	[day","homeowner","C_previous","previous]
20140504-14-13-08	At\0.884413812908	[day","car_age","age_oldest","previous]
20140504-14-13-38	At\0.884413812908	[day","car_age","age_youngest","previous]
20140504-14-13-59	At\0.884413812908	[day","car_age","married_couple","previous]
20140504-14-14-09	At\0.884413812908	[day","car_age","C_previous","previous]
20140504-14-14-39	At\0.884413812908	[day","age_oldest","age_youngest","previous]
20140504-14-14-59	At\0.884413812908	[day","age_oldest","married_couple","previous]
20140504-14-15-10	At\0.884413812908	[day","age_oldest","C_previous","previous]
20140504-14-15-29	At\0.884413812908	[day","age_youngest","married_couple","previous]
20140504-14-15-39	At\0.884413812908	[day","age_youngest","C_previous","previous]
20140504-14-15-49	At\0.884413812908	[day","married_couple","C_previous","previous]
20140504-14-16-48	At\0.884413812908	[state","group_size","homeowner","previous]
20140504-14-17-39	At\0.884413812908	[state","group_size","car_age","previous]
20140504-14-18-18	At\0.884413812908	[state","group_size","age_oldest","previous]
20140504-14-18-47	At\0.884413812908	[state","group_size","age_youngest","previous]
20140504-14-19-07	At\0.884413812908	[state","group_size","married_couple","previous]
20140504-14-19-17	At\0.884413812908	[state","group_size","C_previous","previous]
20140504-14-20-08	At\0.884413812908	[state","homeowner","car_age","previous]
20140504-14-20-47	At\0.884413812908	[state","homeowner","age_oldest","previous]
20140504-14-21-16	At\0.884413812908	[state","homeowner","age_youngest","previous]
20140504-14-21-36	At\0.884413812908	[state","homeowner","married_couple","previous]
20140504-14-21-46	At\0.884413812908	[state","homeowner","C_previous","previous]
20140504-14-22-27	At\0.884413812908	[state","car_age","age_oldest","previous]
20140504-14-22-58	At\0.884413812908	[state","car_age","age_youngest","previous]
20140504-14-23-18	At\0.884413812908	[state","car_age","married_couple","previous]
20140504-14-23-29	At\0.884413812908	[state","car_age","C_previous","previous]
20140504-14-24-00	At\0.884413812908	[state","age_oldest","age_youngest","previous]
20140504-14-24-20	At\0.884413812908	[state","age_oldest","married_couple","previous]
20140504-14-24-30	At\0.884413812908	[state","age_oldest","C_previous","previous]
20140504-14-24-49	At\0.884413812908	[state","age_youngest","married_couple","previous]
20140504-14-24-58	At\0.884413812908	[state","age_youngest","C_previous","previous]
20140504-14-25-09	At\0.884413812908	[state","married_couple","C_previous","previous]
20140504-14-26-03	At\0.884413812908	[group_size","homeowner","car_age","previous]
20140504-14-26-40	At\0.884413812908	[group_size","homeowner","age_oldest","previous]
20140504-14-27-09	At\0.884413812908	[group_size","homeowner","age_youngest","previous]
20140504-14-27-28	At\0.884413812908	[group_size","homeowner","married_couple","previous]
20140504-14-27-37	At\0.884413812908	[group_size","homeowner","C_previous","previous]
20140504-14-28-17	At\0.884413812908	[group_size","car_age","age_oldest","previous]
20140504-14-28-46	At\0.884413812908	[group_size","car_age","age_youngest","previous]
20140504-14-29-06	At\0.884413812908	[group_size","car_age","married_couple","previous]
20140504-14-29-16	At\0.884413812908	[group_size","car_age","C_previous","previous]
20140504-14-29-45	At\0.884413812908	[group_size","age_oldest","age_youngest","previous]
20140504-14-30-04	At\0.884413812908	[group_size","age_oldest","married_couple","previous]
20140504-14-30-14	At\0.884413812908	[group_size","age_oldest","C_previous","previous]
20140504-14-30-33	At\0.884413812908	[group_size","age_youngest","married_couple","previous]
