customer_ID,shopping_pt,record_type,day,time,state,location,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost,prev_A,d1_A,1_actual_A,d2_A,prev_actual_A,prev_B,d1_B,1_actual_B,d2_B,prev_actual_B,prev_C,d1_C,1_actual_C,d2_C,prev_actual_C,prev_D,d1_D,1_actual_D,d2_D,prev_actual_D,prev_E,d1_E,1_actual_E,d2_E,prev_actual_E,prev_F,d1_F,1_actual_F,d2_F,prev_actual_F,prev_G,d1_G,1_actual_G,d2_G,prev_actual_G,prev_C_previous,d1_C_previous,1_actual_C_previous,d2_C_previous,prev_actual_C_previous,order
10000001,2,0,1,12:36,OK,10002,1,0,9,f,NA,24,24,0,3,9,2,1,1,3,1,3,2,611,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,4,0,4,0,0,3,0,3,1
10000002,2,0,4,12:21,PA,10003,1,1,7,f,NA,74,74,0,2,15,2,0,2,3,1,2,2,695,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,3,0,3,0,0,1,0,1,0,0,2,0,2,0,0,2,0,2,0,0,2,0,2,1
10000003,3,0,3,17:13,AR,10004,1,0,4,d,4,26,26,0,3,1,1,0,2,1,0,2,2,628,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0,3,0,3,1
10000004,9,0,1,12:59,OK,10005,1,0,13,f,3,22,22,0,1,3,2,0,1,1,1,2,3,692,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,2,0,1,2,0,3,0,1,NA,0,1,1
10000006,2,0,2,18:12,WA,10007,1,0,11,e,NA,27,27,0,3,12,0,0,1,1,0,0,1,625,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,3,1
10000008,6,0,0,09:22,FL,10009,1,1,11,e,1,75,75,0,1,9,0,0,1,3,0,2,3,567,1,1,1,0,1,0,0,0,0,0,0,1,2,0,1,0,0,3,0,3,0,0,0,0,0,0,0,2,0,2,0,0,3,0,3,0,0,1,0,1,1
10000009,4,0,2,14:20,KY,10010,1,0,7,f,NA,25,25,0,1,1,0,1,1,2,0,0,2,627,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,1
10000010,2,0,1,08:52,PA,10011,2,1,12,d,NA,75,75,1,1,10,1,0,1,2,0,1,2,644,0,0,1,0,1,1,1,1,0,1,1,1,3,0,3,1,1,3,0,3,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1
10000011,2,0,6,23:10,MO,10012,1,1,11,h,3,56,56,0,3,2,1,0,3,3,0,2,2,581,0,0,1,0,1,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,0,0,0,0,0,0,0,2,0,2,1,1,1,0,1,0,0,3,0,3,1
10000012,4,0,1,10:41,FL,10013,1,0,7,d,4,22,22,0,3,7,2,0,2,3,0,3,3,730,1,0,2,0,1,0,0,0,0,0,1,1,1,0,3,0,1,1,0,3,1,0,0,0,1,1,0,3,0,2,0,0,3,0,3,0,0,3,0,3,1
10000015,2,0,4,07:54,NY,10016,2,0,1,f,2,32,30,0,3,2,1,1,3,3,1,0,2,733,0,0,1,0,1,0,0,1,0,1,0,0,3,0,3,0,0,3,0,3,0,0,1,0,1,0,0,0,0,0,1,1,3,0,3,0,0,3,0,3,1
10000017,2,0,2,13:41,WA,10019,1,1,8,g,NA,46,46,0,2,1,1,1,3,3,1,1,1,667,0,0,1,0,1,0,0,1,0,1,0,0,3,0,3,0,0,3,0,3,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,2,0,2,1
10000018,3,0,2,12:09,KY,10020,1,0,3,f,3,58,58,0,3,11,1,1,3,3,1,1,1,605,0,0,1,0,1,1,1,0,0,0,0,1,1,0,3,0,1,1,0,3,0,1,0,0,1,0,1,2,0,1,0,1,2,0,1,0,0,3,0,3,1
10000020,4,0,3,13:08,NV,10022,1,0,12,e,3,50,50,0,3,4,0,1,2,3,0,2,2,585,0,0,0,0,0,0,0,1,0,1,0,1,3,0,2,0,0,3,0,3,0,0,0,0,0,0,1,0,0,2,0,0,2,0,2,0,0,3,0,3,1
10000021,3,0,0,10:33,OH,10023,1,1,6,e,NA,54,48,1,1,2,0,1,1,3,0,1,2,570,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,1,0,1,1
10000022,5,0,1,08:52,FL,10024,2,1,15,h,2,59,57,1,4,1,1,1,4,3,1,1,3,617,0,0,1,0,1,0,0,1,0,1,0,1,3,0,4,0,0,3,0,3,0,0,1,0,1,0,1,2,0,1,0,0,3,0,3,0,0,4,0,4,1
