customer_ID,shopping_pt,record_type,day,time,state,location,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost,prev_A,d1_A,1_actual_A,d2_A,prev_actual_A,prev_B,d1_B,1_actual_B,d2_B,prev_actual_B,prev_C,d1_C,1_actual_C,d2_C,prev_actual_C,prev_D,d1_D,1_actual_D,d2_D,prev_actual_D,prev_E,d1_E,1_actual_E,d2_E,prev_actual_E,prev_F,d1_F,1_actual_F,d2_F,prev_actual_F,prev_G,d1_G,1_actual_G,d2_G,prev_actual_G,prev_C_previous,d1_C_previous,1_actual_C_previous,d2_C_previous,prev_actual_C_previous,order
10000000,9,1,0,12:07,IN,10001,2,0,2,g,3,46,42,1,1,2,1,0,2,2,1,2,1,634,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0,1,0,1,0,0,2,0,2,0,1,2,0,1,0,0,1,0,1,1
10000005,6,1,3,09:09,NY,10006,1,0,10,e,4,28,28,0,3,13,0,0,3,2,0,0,2,731,0,1,1,0,0,0,1,1,0,0,0,0,3,0,3,0,1,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,3,1
10000007,8,1,4,14:26,PA,10008,1,0,11,c,NA,43,43,0,2,4,0,0,1,2,0,0,1,602,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,2,0,2,1
10000013,4,1,4,09:31,WV,10014,2,1,3,d,3,62,60,1,3,3,1,1,3,2,1,1,3,626,0,0,1,0,1,0,0,1,0,1,0,0,3,0,3,0,0,2,0,2,0,0,1,0,1,0,1,2,0,1,0,0,3,0,3,0,0,3,0,3,1
10000014,6,1,1,17:50,MO,10015,1,0,5,d,3,32,28,1,1,2,1,1,1,1,0,2,2,614,0,0,1,0,1,0,0,1,0,1,0,1,3,0,1,0,1,3,0,1,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0,1,0,1,1
10000016,10,1,3,13:15,OH,10018,1,0,6,d,NA,24,24,0,3,9,2,0,3,3,0,3,3,597,0,1,1,0,2,0,1,1,0,0,0,0,3,0,3,0,0,3,0,3,1,0,0,0,1,0,1,1,0,3,0,0,3,0,3,0,0,3,0,3,1
10000019,8,1,1,11:34,OK,10021,1,0,7,d,NA,21,21,0,2,4,2,1,2,3,1,2,3,705,0,0,2,0,2,1,1,0,0,0,0,0,2,0,2,0,0,3,0,3,1,1,0,0,0,0,0,2,0,2,0,0,3,0,3,0,0,2,0,2,1
10000023,7,1,1,14:32,PA,10025,1,1,2,f,3,63,63,0,1,13,1,1,1,3,1,1,2,607,0,0,1,0,1,0,0,1,0,1,0,1,3,0,1,0,0,3,0,3,0,0,1,0,1,0,0,1,0,1,0,0,2,0,2,0,0,1,0,1,1
10000025,7,1,0,15:26,OH,10027,2,1,15,d,2,52,17,0,3,0,0,0,1,1,0,0,3,604,0,1,1,0,0,0,0,0,0,0,0,1,3,0,1,0,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,0,3,0,0,3,0,3,1
10000026,4,1,3,15:24,OH,10028,2,1,5,d,3,59,57,1,3,1,1,1,3,3,1,2,3,578,0,0,1,0,1,0,1,0,0,1,0,0,3,0,3,0,0,3,0,3,0,1,0,0,1,0,0,2,0,2,0,0,3,0,3,0,0,3,0,3,1
